Date,Close/Last,Volume,Open,High,Low
12/01/2021,$15.85,258499,$16.1,$16.1,$15.63
11/30/2021,$15.9,275231,$16.65,$16.65,$15.7125
11/29/2021,$16.45,78872,$17.1,$17.1,$16.25
11/26/2021,$16.715,417886,$16.5,$16.98,$16.5
11/24/2021,$17.0625,332468,$16.6,$17.09,$16.5
11/23/2021,$17,162296,$17.45,$17.45,$16.675
11/22/2021,$17.5,267233,$17,$17.5,$17
11/19/2021,$17.59,352659,$18.15,$18.15,$17.55
11/18/2021,$17.88,171834,$18.4,$18.75,$17.8
11/17/2021,$20.52,90818,$20.65,$20.95,$20
11/16/2021,$21.07,97854,$21.35,$21.35,$21.07
11/15/2021,$20.825,98515,$21.1,$21.1,$20.65
11/12/2021,$20.8638,212904,$21.41,$21.41,$20.5
11/11/2021,$21.025,277609,$21.024,$21.14,$20.95
11/10/2021,$20.96,244295,$20.5,$20.96,$20.1
11/09/2021,$20,174450,$19.75,$20.65,$19.75
11/08/2021,$19.9901,173922,$19.64,$21.02,$19.64
11/05/2021,$20,127870,$20.5,$20.5195,$19.85
11/04/2021,$20.645,152248,$20.5201,$21,$20.5201
11/03/2021,$20.6,62656,$20.9,$20.9,$20.6
11/02/2021,$20.2,278074,$21.25,$21.25,$20.2
11/01/2021,$21.25,202705,$20.9,$21.4,$20.8
10/29/2021,$20.85,248269,$21.2,$21.2,$20.45
10/28/2021,$21.205,243977,$21,$21.35,$21
10/27/2021,$21.17,219053,$21.25,$21.65,$21.1
10/26/2021,$21.3375,118394,$22.05,$22.05,$21.25
10/25/2021,$22,65747,$22.4875,$22.4875,$21.93
10/22/2021,$22.35,336262,$22.375,$22.38,$22.0001
10/21/2021,$22.175,250444,$22.5,$22.5,$22.175
10/20/2021,$22.186,382431,$22.675,$22.675,$22.09
10/19/2021,$22.315,424314,$21.3,$22.33,$21.3
10/18/2021,$21.19,26886,$21,$21.19,$20.75
10/15/2021,$20.9,355195,$21.15,$21.15,$20.43
10/14/2021,$20.825,20077,$21.25,$21.25,$20.5
10/13/2021,$21.1,3168,$20.74,$21.1,$20.66
10/12/2021,$20.33,571660,$20.6,$20.7,$20.33
10/11/2021,$20.6,953965,$21.98,$21.98,$20.33
10/08/2021,$20.25,392556,$20.25,$20.34,$19.75
10/07/2021,$19.5,394159,$18.67,$19.65,$18.67
10/06/2021,$18,110301,$18.14,$18.14,$17.6
10/05/2021,$17.95,3022,$17.98,$18.05,$17.6705
10/04/2021,$17.8499,227574,$17.5,$17.85,$17.42
10/01/2021,$18.02,30791,$18.1,$18.4999,$17.85
09/30/2021,$18.599,171158,$18.8,$18.8,$18.5
09/29/2021,$18.4,136181,$18.88,$19.05,$18.275
09/28/2021,$18.75,219999,$19.2,$19.2,$18.75
09/27/2021,$18.95,156798,$18.05,$18.95,$18.05
09/24/2021,$18.1,110153,$18.69,$18.69,$18.1
09/23/2021,$18.98,60404,$19.075,$19.08,$18.755
09/22/2021,$19.08,1778,$19.075,$19.2,$19
09/21/2021,$18.95,166380,$18.75,$19.2,$18.75
09/20/2021,$18.86,28703,$19.75,$19.75,$18.75
09/17/2021,$19.81,87818,$20,$20.04,$19.2
09/16/2021,$19.68,30243,$19.12,$19.98,$19.12
09/15/2021,$19.7,189033,$20,$20,$19.3
09/14/2021,$20.15,164458,$20.2,$20.51,$20
