Date,Close/Last,Volume,Open,High,Low,Adjusted Close
12/01/2021,22.69,N/A,22.69,22.69,22.69,22.69
11/30/2021,23.17,N/A,23.17,23.17,23.17,23.17
11/29/2021,23.69,N/A,23.69,23.69,23.69,23.69
11/26/2021,23.73,N/A,23.73,23.73,23.73,23.73
11/24/2021,24.66,N/A,24.66,24.66,24.66,24.66
11/23/2021,24.66,N/A,24.66,24.66,24.66,24.66
11/22/2021,24.67,N/A,24.67,24.67,24.67,24.67
11/19/2021,24.65,N/A,24.65,24.65,24.65,24.65
11/18/2021,24.89,N/A,24.89,24.89,24.89,24.89
11/17/2021,24.95,N/A,24.95,24.95,24.95,24.95
11/16/2021,25.24,N/A,25.24,25.24,25.24,25.24
11/15/2021,25.2,N/A,25.2,25.2,25.2,25.2
11/12/2021,25.28,N/A,25.28,25.28,25.28,25.28
11/11/2021,25.27,N/A,25.27,25.27,25.27,25.27
11/10/2021,25.04,N/A,25.04,25.04,25.04,25.04
11/09/2021,25.36,N/A,25.36,25.36,25.36,25.36
11/08/2021,25.51,N/A,25.51,25.51,25.51,25.51
11/05/2021,25.47,N/A,25.47,25.47,25.47,25.47
11/04/2021,25.08,N/A,25.08,25.08,25.08,25.08
11/03/2021,25.03,N/A,25.03,25.03,25.03,25.03
11/02/2021,24.53,N/A,24.53,24.53,24.53,24.53
11/01/2021,24.51,N/A,24.51,24.51,24.51,24.51
10/29/2021,23.92,N/A,23.92,23.92,23.92,23.92
10/28/2021,23.91,N/A,23.91,23.91,23.91,23.91
10/27/2021,23.46,N/A,23.46,23.46,23.46,23.46
10/26/2021,23.88,N/A,23.88,23.88,23.88,23.88
10/25/2021,24.13,N/A,24.13,24.13,24.13,24.13
10/22/2021,23.97,N/A,23.97,23.97,23.97,23.97
10/21/2021,23.96,N/A,23.96,23.96,23.96,23.96
10/20/2021,23.96,N/A,23.96,23.96,23.96,23.96
10/19/2021,23.81,N/A,23.81,23.81,23.81,23.81
10/18/2021,23.75,N/A,23.75,23.75,23.75,23.75
10/15/2021,23.76,N/A,23.76,23.76,23.76,23.76
10/14/2021,23.84,N/A,23.84,23.84,23.84,23.84
10/13/2021,23.55,N/A,23.55,23.55,23.55,23.55
10/12/2021,23.55,N/A,23.55,23.55,23.55,23.55
10/11/2021,23.42,N/A,23.42,23.42,23.42,23.42
10/08/2021,23.54,N/A,23.54,23.54,23.54,23.54
10/07/2021,23.63,N/A,23.63,23.63,23.63,23.63
10/06/2021,23.26,N/A,23.26,23.26,23.26,23.26
10/05/2021,23.39,N/A,23.39,23.39,23.39,23.39
10/04/2021,23.3,N/A,23.3,23.3,23.3,23.3
